category	dataset	image	filename	tp_volume	fp_volume	fn_volume	tp_length	fp_length	fn_length	tp_count	fp_count	fn_count	distance	Unnamed: 0	my_metric
false_component	Roads	img_0	gt.png	148257.0	0.0	0.0	21040.0	0.0	0.0	8.0	0.0	0.0		0	1
false_component	Roads	img_0	pred_0.png	148257.0	2054.0	0.0	21040.0	285.0	0.0	8.0	6.0	0.0		2	1
false_component	Roads	img_0	pred_1.png	148257.0	3502.0	0.0	21040.0	504.0	0.0	8.0	11.0	0.0		11	1
false_component	Roads	img_0	pred_2.png	148257.0	3987.0	0.0	21040.0	636.0	0.0	8.0	16.0	0.0		6	1
false_component	Roads	img_0	pred_3.png	148257.0	6176.0	0.0	21040.0	877.0	0.0	8.0	21.0	0.0		13	1
false_component	Roads	img_0	pred_4.png	148257.0	6979.0	0.0	21040.0	1062.0	0.0	8.0	26.0	0.0		7	1
false_component	Roads	img_0	pred_5.png	148257.0	8281.0	0.0	21040.0	1198.0	0.0	8.0	31.0	0.0		14	1
false_component	Roads	img_0	pred_6.png	148257.0	9112.0	0.0	21040.0	1351.0	0.0	8.0	36.0	0.0		9	1
false_component	Roads	img_0	pred_7.png	148257.0	10856.0	0.0	21040.0	1544.0	0.0	8.0	41.0	0.0		10	1
false_component	Roads	img_0	pred_8.png	148257.0	11887.0	0.0	21040.0	1697.0	0.0	8.0	46.0	0.0		19	1
false_component	Roads	img_0	pred_9.png	148257.0	12821.0	0.0	21040.0	1873.0	0.0	8.0	51.0	0.0		20	1
false_component	Roads	img_0	pred_10.png	148257.0	13692.0	0.0	21040.0	1982.0	0.0	8.0	55.0	0.0		5	1
false_component	Roads	img_0	pred_11.png	148257.0	15857.0	0.0	21040.0	2207.0	0.0	8.0	60.0	0.0		16	1
false_component	Roads	img_0	pred_12.png	148257.0	17494.0	0.0	21040.0	2389.0	0.0	8.0	65.0	0.0		17	1
false_component	Roads	img_0	pred_13.png	148257.0	19100.0	0.0	21040.0	2518.0	0.0	8.0	70.0	0.0		8	1
false_component	Roads	img_0	pred_14.png	148257.0	20606.0	0.0	21040.0	2675.0	0.0	8.0	75.0	0.0		12	1
false_component	Roads	img_0	pred_15.png	148257.0	21341.0	0.0	21040.0	2752.0	0.0	8.0	80.0	0.0		1	1
false_component	Roads	img_0	pred_16.png	148257.0	23138.0	0.0	21040.0	2924.0	0.0	8.0	85.0	0.0		3	1
false_component	Roads	img_0	pred_17.png	148257.0	24771.0	0.0	21040.0	3223.0	0.0	8.0	90.0	0.0		18	1
false_component	Roads	img_0	pred_18.png	148257.0	25784.0	0.0	21040.0	3333.0	0.0	8.0	95.0	0.0		4	1
false_component	Roads	img_0	pred_19.png	148257.0	27635.0	0.0	21040.0	3556.0	0.0	8.0	100.0	0.0		15	1
false_component	Roads	img_2	gt.png	206563.0	0.0	0.0	31942.0	0.0	0.0	8.0	0.0	0.0		0	1
false_component	Roads	img_2	pred_0.png	206563.0	2002.0	0.0	31942.0	212.0	0.0	8.0	6.0	0.0		2	1
false_component	Roads	img_2	pred_1.png	206563.0	4632.0	0.0	31942.0	458.0	0.0	8.0	11.0	0.0		11	1
false_component	Roads	img_2	pred_2.png	206563.0	7481.0	0.0	31942.0	742.0	0.0	8.0	16.0	0.0		6	1
false_component	Roads	img_2	pred_3.png	206563.0	10141.0	0.0	31942.0	1088.0	0.0	8.0	21.0	0.0		13	1
false_component	Roads	img_2	pred_4.png	206563.0	11961.0	0.0	31942.0	1286.0	0.0	8.0	26.0	0.0		7	1
false_component	Roads	img_2	pred_5.png	206563.0	13458.0	0.0	31942.0	1439.0	0.0	8.0	31.0	0.0		14	1
false_component	Roads	img_2	pred_6.png	206563.0	14456.0	0.0	31942.0	1708.0	0.0	8.0	36.0	0.0		9	1
false_component	Roads	img_2	pred_7.png	206563.0	16225.0	0.0	31942.0	1928.0	0.0	8.0	41.0	0.0		10	1
false_component	Roads	img_2	pred_8.png	206563.0	18943.0	0.0	31942.0	2155.0	0.0	8.0	46.0	0.0		19	1
false_component	Roads	img_2	pred_9.png	206563.0	20531.0	0.0	31942.0	2329.0	0.0	8.0	51.0	0.0		20	1
false_component	Roads	img_2	pred_10.png	206563.0	21694.0	0.0	31942.0	2442.0	0.0	8.0	55.0	0.0		5	1
false_component	Roads	img_2	pred_11.png	206563.0	23626.0	0.0	31942.0	2687.0	0.0	8.0	60.0	0.0		16	1
false_component	Roads	img_2	pred_12.png	206563.0	24650.0	0.0	31942.0	2810.0	0.0	8.0	65.0	0.0		17	1
false_component	Roads	img_2	pred_13.png	206563.0	27236.0	0.0	31942.0	3056.0	0.0	8.0	70.0	0.0		8	1
false_component	Roads	img_2	pred_14.png	206563.0	28199.0	0.0	31942.0	3144.0	0.0	8.0	75.0	0.0		12	1
false_component	Roads	img_2	pred_15.png	206563.0	28881.0	0.0	31942.0	3264.0	0.0	8.0	80.0	0.0		1	1
false_component	Roads	img_2	pred_16.png	206563.0	30856.0	0.0	31942.0	3464.0	0.0	8.0	85.0	0.0		3	1
false_component	Roads	img_2	pred_17.png	206563.0	32702.0	0.0	31942.0	3673.0	0.0	8.0	90.0	0.0		18	1
false_component	Roads	img_2	pred_18.png	206563.0	34762.0	0.0	31942.0	3959.0	0.0	8.0	95.0	0.0		4	1
false_component	Roads	img_2	pred_19.png	206563.0	36874.0	0.0	31942.0	4223.0	0.0	8.0	100.0	0.0		15	1
false_component	Roads	img_1	gt.png	190626.0	0.0	0.0	26311.0	0.0	0.0	5.0	0.0	0.0		0	1
false_component	Roads	img_1	pred_0.png	190626.0	1675.0	0.0	26311.0	154.0	0.0	5.0	6.0	0.0		2	1
false_component	Roads	img_1	pred_1.png	190626.0	4356.0	0.0	26311.0	353.0	0.0	5.0	11.0	0.0		11	1
false_component	Roads	img_1	pred_2.png	190626.0	6356.0	0.0	26311.0	521.0	0.0	5.0	16.0	0.0		6	1
false_component	Roads	img_1	pred_3.png	190626.0	8331.0	0.0	26311.0	637.0	0.0	5.0	21.0	0.0		13	1
false_component	Roads	img_1	pred_4.png	190626.0	9679.0	0.0	26311.0	733.0	0.0	5.0	26.0	0.0		7	1
false_component	Roads	img_1	pred_5.png	190626.0	11576.0	0.0	26311.0	882.0	0.0	5.0	31.0	0.0		14	1
false_component	Roads	img_1	pred_6.png	190626.0	14725.0	0.0	26311.0	1053.0	0.0	5.0	36.0	0.0		9	1
false_component	Roads	img_1	pred_7.png	190626.0	17015.0	0.0	26311.0	1182.0	0.0	5.0	41.0	0.0		10	1
false_component	Roads	img_1	pred_8.png	190626.0	19679.0	0.0	26311.0	1360.0	0.0	5.0	46.0	0.0		19	1
false_component	Roads	img_1	pred_9.png	190626.0	21875.0	0.0	26311.0	1521.0	0.0	5.0	51.0	0.0		20	1
false_component	Roads	img_1	pred_10.png	190626.0	23611.0	0.0	26311.0	1673.0	0.0	5.0	55.0	0.0		5	1
false_component	Roads	img_1	pred_11.png	190626.0	26067.0	0.0	26311.0	1810.0	0.0	5.0	60.0	0.0		16	1
false_component	Roads	img_1	pred_12.png	190626.0	27721.0	0.0	26311.0	1995.0	0.0	5.0	65.0	0.0		17	1
false_component	Roads	img_1	pred_13.png	190626.0	30198.0	0.0	26311.0	2206.0	0.0	5.0	70.0	0.0		8	1
false_component	Roads	img_1	pred_14.png	190626.0	31844.0	0.0	26311.0	2335.0	0.0	5.0	75.0	0.0		12	1
false_component	Roads	img_1	pred_15.png	190626.0	33203.0	0.0	26311.0	2419.0	0.0	5.0	80.0	0.0		1	1
false_component	Roads	img_1	pred_16.png	190626.0	34554.0	0.0	26311.0	2509.0	0.0	5.0	85.0	0.0		3	1
false_component	Roads	img_1	pred_17.png	190626.0	36721.0	0.0	26311.0	2720.0	0.0	5.0	90.0	0.0		18	1
false_component	Roads	img_1	pred_18.png	190626.0	38459.0	0.0	26311.0	2871.0	0.0	5.0	95.0	0.0		4	1
false_component	Roads	img_1	pred_19.png	190626.0	41175.0	0.0	26311.0	2997.0	0.0	5.0	100.0	0.0		15	1
false_component	Colon_cells	img_0	gt.png	11002.0	0.0	0.0	608.0	0.0	0.0	156.0	0.0	0.0		0	1
false_component	Colon_cells	img_0	pred_0.png	11002.0	222.0	0.0	608.0	15.0	0.0	156.0	6.0	0.0		2	1
false_component	Colon_cells	img_0	pred_1.png	11002.0	376.0	0.0	608.0	28.0	0.0	156.0	11.0	0.0		11	1
false_component	Colon_cells	img_0	pred_2.png	11002.0	637.0	0.0	608.0	42.0	0.0	156.0	16.0	0.0		6	1
false_component	Colon_cells	img_0	pred_3.png	11002.0	720.0	0.0	608.0	55.0	0.0	156.0	21.0	0.0		13	1
false_component	Colon_cells	img_0	pred_4.png	11002.0	885.0	0.0	608.0	67.0	0.0	156.0	26.0	0.0		7	1
false_component	Colon_cells	img_0	pred_5.png	11002.0	1037.0	0.0	608.0	82.0	0.0	156.0	31.0	0.0		14	1
false_component	Colon_cells	img_0	pred_6.png	11002.0	1219.0	0.0	608.0	95.0	0.0	156.0	36.0	0.0		9	1
false_component	Colon_cells	img_0	pred_7.png	11002.0	1392.0	0.0	608.0	109.0	0.0	156.0	41.0	0.0		10	1
false_component	Colon_cells	img_0	pred_8.png	11002.0	1492.0	0.0	608.0	125.0	0.0	156.0	46.0	0.0		19	1
false_component	Colon_cells	img_0	pred_9.png	11002.0	1595.0	0.0	608.0	135.0	0.0	156.0	51.0	0.0		20	1
false_component	Colon_cells	img_0	pred_10.png	11002.0	1728.0	0.0	608.0	146.0	0.0	156.0	55.0	0.0		5	1
false_component	Colon_cells	img_0	pred_11.png	11002.0	1893.0	0.0	608.0	158.0	0.0	156.0	60.0	0.0		16	1
false_component	Colon_cells	img_0	pred_12.png	11002.0	2065.0	0.0	608.0	168.0	0.0	156.0	65.0	0.0		17	1
false_component	Colon_cells	img_0	pred_13.png	11002.0	2195.0	0.0	608.0	182.0	0.0	156.0	70.0	0.0		8	1
false_component	Colon_cells	img_0	pred_14.png	11002.0	2374.0	0.0	608.0	192.0	0.0	156.0	75.0	0.0		12	1
false_component	Colon_cells	img_0	pred_15.png	11002.0	2478.0	0.0	608.0	206.0	0.0	156.0	80.0	0.0		1	1
false_component	Colon_cells	img_0	pred_16.png	11002.0	2640.0	0.0	608.0	218.0	0.0	156.0	85.0	0.0		3	1
false_component	Colon_cells	img_0	pred_17.png	11002.0	2817.0	0.0	608.0	232.0	0.0	156.0	90.0	0.0		18	1
false_component	Colon_cells	img_0	pred_18.png	11002.0	2881.0	0.0	608.0	245.0	0.0	156.0	95.0	0.0		4	1
false_component	Colon_cells	img_0	pred_19.png	11002.0	3037.0	0.0	608.0	257.0	0.0	156.0	100.0	0.0		15	1
false_component	Colon_cells	img_2	gt.png	22641.0	0.0	0.0	1257.0	0.0	0.0	239.0	0.0	0.0		0	1
false_component	Colon_cells	img_2	pred_0.png	22641.0	221.0	0.0	1257.0	17.0	0.0	239.0	6.0	0.0		2	1
false_component	Colon_cells	img_2	pred_1.png	22641.0	587.0	0.0	1257.0	36.0	0.0	239.0	11.0	0.0		11	1
false_component	Colon_cells	img_2	pred_2.png	22641.0	856.0	0.0	1257.0	48.0	0.0	239.0	16.0	0.0		6	1
false_component	Colon_cells	img_2	pred_3.png	22641.0	1462.0	0.0	1257.0	63.0	0.0	239.0	21.0	0.0		13	1
false_component	Colon_cells	img_2	pred_4.png	22641.0	1666.0	0.0	1257.0	83.0	0.0	239.0	26.0	0.0		7	1
false_component	Colon_cells	img_2	pred_5.png	22641.0	1883.0	0.0	1257.0	104.0	0.0	239.0	31.0	0.0		14	1
false_component	Colon_cells	img_2	pred_6.png	22641.0	2281.0	0.0	1257.0	119.0	0.0	239.0	36.0	0.0		9	1
false_component	Colon_cells	img_2	pred_7.png	22641.0	2724.0	0.0	1257.0	133.0	0.0	239.0	41.0	0.0		10	1
false_component	Colon_cells	img_2	pred_8.png	22641.0	2811.0	0.0	1257.0	145.0	0.0	239.0	46.0	0.0		19	1
false_component	Colon_cells	img_2	pred_9.png	22641.0	3151.0	0.0	1257.0	169.0	0.0	239.0	51.0	0.0		20	1
false_component	Colon_cells	img_2	pred_10.png	22641.0	3307.0	0.0	1257.0	180.0	0.0	239.0	55.0	0.0		5	1
